title,address,price,duzenle,m2,rooms,furnished
Apartment Scheldeplein,1078 GR Amsterdam (Scheldebuurt),"€5,750 per month",116 m²/3 rooms/Upholstered,116 m²,3 rooms,Upholstered
Apartment Scheldeplein,1078 GR Amsterdam (Scheldebuurt),"€6,000 per month",138 m²/4 rooms/Upholstered,138 m²,4 rooms,Upholstered
Apartment Hemonystraat,1074 BL Amsterdam (Oude Pijp),"€2,150 per month",70 m²/2 rooms/Furnished,70 m²,2 rooms,Furnished
Apartment Orteliuskade,1057 AH Amsterdam (Hoofdweg e.o.),"€1,800 per month",57 m²/3 rooms/Furnished,57 m²,3 rooms,Furnished
Apartment De Clercqstraat 66 2,1052 NJ Amsterdam (Da Costabuurt),"€2,200 per month",65 m²/3 rooms/Upholstered,65 m²,3 rooms,Upholstered
Apartment Mary van der Sluisstraat,1095 ME Amsterdam (Zeeburgereiland/Nieuwe Diep),"€2,300 per month",96 m²/3 rooms/Furnished,96 m²,3 rooms,Furnished
Apartment Stadhouderskade 88 B,1073 AV Amsterdam (Oude Pijp),"€2,195 per month",80 m²/3 rooms/Upholstered,80 m²,3 rooms,Upholstered
Apartment Oostelijke Handelskade 1195,1019 DN Amsterdam (Oostelijk Havengebied),"€2,500 per month",100 m²/4 rooms/Furnished,100 m²,4 rooms,Furnished
Apartment John Blankensteinstraat 127 C,1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep),"€1,450 per month",50 m²/2 rooms/Upholstered,50 m²,2 rooms,Upholstered
Apartment Fagelstraat 6 3,1052 GB Amsterdam (Frederik Hendrikbuurt),"€2,400 per month",100 m²/3 rooms/Furnished,100 m²,3 rooms,Furnished
Apartment Utrechtsestraat,1017 VR Amsterdam (Grachtengordel-Zuid),"€1,600 per month",43 m²/2 rooms/Upholstered,43 m²,2 rooms,Upholstered
Apartment Valeriusstraat 179 H,1075 EW Amsterdam (Willemspark),"€4,500 per month",130 m²/6 rooms/Upholstered,130 m²,6 rooms,Upholstered
Apartment Von Zesenstraat 190,1093 BJ Amsterdam (Dapperbuurt),"€1,800 per month",68 m²/2 rooms/Furnished,68 m²,2 rooms,Furnished
Apartment Vijzelstraat,1017 HD Amsterdam (Grachtengordel-Zuid),"€2,450 per month",94 m²/4 rooms/Furnished,94 m²,4 rooms,Furnished
Apartment Amstelveenseweg,1075 VT Amsterdam (Schinkelbuurt),"€2,850 per month",78 m²/3 rooms/1911,78 m²,3 rooms,1911
Apartment Groenmarktkade 16,1016 TA Amsterdam (Jordaan),"€3,750 per month",125 m²/3 rooms/Upholstered,125 m²,3 rooms,Upholstered
Apartment Singel 402 A,1016 AK Amsterdam (Grachtengordel-West),"€2,850 per month",97 m²/4 rooms/Furnished,97 m²,4 rooms,Furnished
Apartment Bellamystraat 49 E,1053 BG Amsterdam (Kinkerbuurt),"€1,700 per month",57 m²/3 rooms/1906-1930,57 m²,3 rooms,1906-1930
Apartment Valkenburgerstraat 134 C,1011 NA Amsterdam (Nieuwmarkt/Lastage),"€2,650 per month",95 m²/3 rooms/Upholstered or furnished,95 m²,3 rooms,Upholstered or furnished
Apartment Derde Schinkelstraat 28,1075 TL Amsterdam (Schinkelbuurt),"€1,850 per month",51 m²/2 rooms/Furnished,51 m²,2 rooms,Furnished
Apartment Leliegracht 15 II,1016 GP Amsterdam (Grachtengordel-West),"€2,800 per month",140 m²/4 rooms/Furnished,140 m²,4 rooms,Furnished
Apartment Amstel,1018 ER Amsterdam (Weesperbuurt/Plantage),"€3,300 per month",138 m²/4 rooms/Before 1906,138 m²,4 rooms,Before 1906
Apartment Okeghemstraat 17 II,1075 PK Amsterdam (Willemspark),"€3,750 per month",145 m²/4 rooms/Upholstered,145 m²,4 rooms,Upholstered
Apartment Singel 40 H,1015 AB Amsterdam (Grachtengordel-West),"€2,650 per month",87 m²/3 rooms/Furnished,87 m²,3 rooms,Furnished
Apartment J.J. Cremerplein 34 2,1054 TL Amsterdam (Overtoomse Sluis),"€1,900 per month",60 m²/3 rooms/Furnished,60 m²,3 rooms,Furnished
Apartment Biesboschstraat 40 1,1078 MV Amsterdam (Scheldebuurt),"€2,300 per month",74 m²/4 rooms/Furnished,74 m²,4 rooms,Furnished
Apartment Van Breestraat 98 III,1071 ZT Amsterdam (Museumkwartier),"€3,100 per month",130 m²/6 rooms/Upholstered,130 m²,6 rooms,Upholstered
Apartment Van Eeghenstraat 121 C,1071 GA Amsterdam (Museumkwartier),"€3,000 per month",80 m²/3 rooms/Furnished,80 m²,3 rooms,Furnished
Apartment Herengracht,1017 CE Amsterdam (Grachtengordel-Zuid),"€1,950 per month",60 m²/2 rooms/Before 1906,60 m²,2 rooms,Before 1906
Apartment Jan van Riebeekstraat 12 2,1057 ZX Amsterdam (Chassébuurt),"€1,700 per month",55 m²/2 rooms/Upholstered or furnished,55 m²,2 rooms,Upholstered or furnished
Apartment Da Costastraat,1053 ZG Amsterdam (Da Costabuurt),"€2,400 per month",86 m²/3 rooms/Upholstered,86 m²,3 rooms,Upholstered
Apartment Ceintuurbaan 61 II,1072 EV Amsterdam (Oude Pijp),"€2,100 per month",62 m²/3 rooms/Upholstered,62 m²,3 rooms,Upholstered
Apartment Prinsengracht,1016 HZ Amsterdam (Jordaan),"€1,650 per month",30 m²/2 rooms/Furnished,30 m²,2 rooms,Furnished
Apartment Postjeskade 23 4,1058 DE Amsterdam (Westindische Buurt),"€2,200 per month",75 m²/3 rooms/Upholstered,75 m²,3 rooms,Upholstered
Apartment Groenburgwal,1011 HW Amsterdam (Nieuwmarkt/Lastage),"€3,000 per month",130 m²/4 rooms/Upholstered,130 m²,4 rooms,Upholstered
Apartment Amsteldijk 23 3,1074 HS Amsterdam (Oude Pijp),"€2,850 per month",83 m²/3 rooms/Furnished,83 m²,3 rooms,Furnished
Apartment Prinsengracht 205 B,1015 DT Amsterdam (Grachtengordel-West),"€2,250 per month",60 m²/2 rooms/Furnished,60 m²,2 rooms,Furnished
Apartment Kanaalstraat,1054 XN Amsterdam (Overtoomse Sluis),"€1,950 per month",55 m²/2 rooms/2001-2010,55 m²,2 rooms,2001-2010
Apartment Sanderijnstraat 30 hs,1055 BT Amsterdam (Erasmuspark),"€2,500 per month",83 m²/3 rooms/Furnished,83 m²,3 rooms,Furnished
Apartment Derde Helmersstraat 41 hs,1054 BB Amsterdam (Helmersbuurt),"€3,000 per month",105 m²/4 rooms/Furnished,105 m²,4 rooms,Furnished
Apartment Prinsengracht 411 I,1016 HM Amsterdam (Grachtengordel-West),"€2,500 per month",86 m²/2 rooms/Upholstered,86 m²,2 rooms,Upholstered
Apartment Kaasjeskruidstraat 26,1032 LS Amsterdam (Noordelijke IJ-oevers West),"€2,250 per month",25 m²/1 room/Upholstered or furnished,25 m²,1 room,Upholstered or furnished
Apartment Prinsengracht 693 C,1017 JV Amsterdam (Grachtengordel-Zuid),"€2,250 per month",70 m²/3 rooms/Upholstered,70 m²,3 rooms,Upholstered
Apartment Jan van Goyenkade 27 1,1075 HS Amsterdam (Willemspark),"€6,250 per month",270 m²/8 rooms/1906-1930,270 m²,8 rooms,1906-1930
Apartment Van Breestraat 129 Hs,1071 ZL Amsterdam (Museumkwartier),"€6,500 per month",188 m²/7 rooms/Upholstered,188 m²,7 rooms,Upholstered
Apartment Admiraal De Ruijterweg,1055 MP Amsterdam (Landlust),"€3,200 per month",139 m²/5 rooms/Furnished,139 m²,5 rooms,Furnished
Apartment Nieuwezijds Voorburgwal 18 B,1012 RZ Amsterdam (Burgwallen-Nieuwe Zijde),"€3,000 per month",100 m²/3 rooms/Furnished,100 m²,3 rooms,Furnished
Apartment Wamberg 79,1083 CZ Amsterdam (Buitenveldert-Oost),"€2,450 per month",130 m²/4 rooms/Furnished,130 m²,4 rooms,Furnished
House Eliza van Calcarstraat 5,1068 RR Amsterdam (Osdorp-Oost),"€2,600 per month",144 m²/4 rooms/Upholstered,144 m²,4 rooms,Upholstered
Apartment Nieuwe Oostenburgerstraat 1 D,1018 MB Amsterdam (Oostelijke Eilanden/Kadijken),"€3,000 per month",120 m²/5 rooms/130 m²,120 m²,5 rooms,130 m²
Apartment Bestevâerstraat,1055 TL Amsterdam (Landlust),"€1,750 per month",71 m²/2 rooms/40 m²,71 m²,2 rooms,40 m²
Apartment Oudwijkerveldstraat,3581 JL Utrecht (Oudwijk),"€1,175 per month",40 m²/2 rooms/Upholstered,40 m²,2 rooms,Upholstered
Apartment Catharijnesingel,3511 GN Utrecht (Hooch Boulandt),"€1,425 per month",70 m²/2 rooms/Furnished,70 m²,2 rooms,Furnished
Studio Egelantierstraat,3551 GA Utrecht (2e Daalsebuurt en omgeving),€850 per month,26 m²/1 room/Upholstered,26 m²,1 room,Upholstered
Apartment Lauwerecht,3515 GN Utrecht (Lauwerecht),"€1,095 per month",26 m²/2 rooms/Upholstered,26 m²,2 rooms,Upholstered
Apartment Oudegracht,3511 AV Utrecht (Breedstraat en Plompetorengracht en omgeving),"€1,795 per month",85 m²/3 rooms/Upholstered,85 m²,3 rooms,Upholstered
Apartment Janskerkhof,"3512 BK Utrecht (Domplein, Neude, Janskerkhof)","€1,300 per month",76 m²/2 rooms/Furnished,76 m²,2 rooms,Furnished
Studio Potterstraat,"3512 TB Utrecht (Domplein, Neude, Janskerkhof)","€1,075 per month",26 m²/2 rooms/Furnished,26 m²,2 rooms,Furnished
Apartment Van der Duijnstraat,3581 JW Utrecht (Oudwijk),"€1,245 per month",48 m²/2 rooms/Furnished,48 m²,2 rooms,Furnished
Apartment Van Asch van Wijckskade,3512 VR Utrecht (Breedstraat en Plompetorengracht en omgeving),"€1,400 per month",56 m²/2 rooms/Upholstered,56 m²,2 rooms,Upholstered
Apartment Julianaparklaan,3553 HK Utrecht (Elinkwijk en omgeving),"€1,150 per month",48 m²/1 room/2001,48 m²,1 room,2001
Apartment Hekelsteeg 6,"3511 AK Utrecht (Lange Elisabethstraat, Mariaplaats en omgeving)","€1,850 per month",80 m²/3 rooms/1913,80 m²,3 rooms,1913
Apartment Kees van Dongensingel 24 A,3544 KG Utrecht (Het Zand-West),"€1,075 per month",62 m²/2 rooms/Upholstered,62 m²,2 rooms,Upholstered
Apartment Bakkerstraat 16 B,"3511 JW Utrecht (Lange Elisabethstraat, Mariaplaats en omgeving)","€1,765 per month",70 m²/2 rooms/1900,70 m²,2 rooms,1900
Apartment Molukkenstraat,"3531 WD Utrecht (Laan van Nieuw-Guinea, Spinozaweg e.o.)","€2,300 per month",94 m²/3 rooms/Furnished,94 m²,3 rooms,Furnished
Apartment Magdalenastraat 2 E,3512 NH Utrecht (Nieuwegracht-Oost),"€1,700 per month",85 m²/3 rooms/Upholstered,85 m²,3 rooms,Upholstered
Apartment Westerdijk,3513 DJ Utrecht (Pijlsweerd-Zuid),"€2,150 per month",95 m²/3 rooms/Furnished,95 m²,3 rooms,Furnished
Apartment Livingstonelaan 568,3526 JD Utrecht (Kanaleneiland-Zuid),"€1,275 per month",45 m²/2 rooms/Furnished,45 m²,2 rooms,Furnished
Apartment Croeselaan,3521 BZ Utrecht (Dichterswijk),"€1,450 per month",65 m²/2 rooms/Upholstered,65 m²,2 rooms,Upholstered
Apartment Van Heuven Goedhartplein 685,3527 DZ Utrecht (Kanaleneiland-Noord),"€1,040 per month",50 m²/2 rooms/Upholstered,50 m²,2 rooms,Upholstered
Apartment Jacob van der Borchstraat,3515 XC Utrecht (Tuinwijk-West),"€1,450 per month",54 m²/3 rooms/Upholstered or furnished,54 m²,3 rooms,Upholstered or furnished
Apartment Oudegracht 10 A,3511 AM Utrecht (Breedstraat en Plompetorengracht en omgeving),"€1,795 per month",67 m²/2 rooms/Upholstered,67 m²,2 rooms,Upholstered
Apartment Pal Maleterstraat 4,3573 PH Utrecht (Voordorp en Voorveldsepolder),"€1,245 per month",90 m²/3 rooms/Shell,90 m²,3 rooms,Shell
Apartment Korianderstraat 126,3544 BS Utrecht (Parkwijk-Zuid),"€1,400 per month",90 m²/3 rooms/Upholstered,90 m²,3 rooms,Upholstered
Apartment Lauwersteeg,"3511 JM Utrecht (Lange Elisabethstraat, Mariaplaats en omgeving)","€2,250 per month",150 m²/4 rooms/Upholstered,150 m²,4 rooms,Upholstered
Apartment Havikstraat,3514 TS Utrecht (Vogelenbuurt),"€1,250 per month",53 m²/2 rooms/Upholstered,53 m²,2 rooms,Upholstered
Apartment Zambesidreef 119,3564 CB Utrecht (Zambesidreef en omgeving),"€1,250 per month",88 m²/3 rooms/Upholstered,88 m²,3 rooms,Upholstered
Apartment Vleutenseweg 122,3532 HM Utrecht (Lombok-Oost),"€2,200 per month",138 m²/4 rooms/Upholstered,138 m²,4 rooms,Upholstered
Apartment Bilderdijkstraat,"3532 VH Utrecht (Nieuw Engeland, Th. a. Kempisplantsoen en omgeving)","€1,450 per month",51 m²/2 rooms/Furnished,51 m²,2 rooms,Furnished
House Fred Raymondhof,3543 HX Utrecht (Terwijde-West),"€2,700 per month",140 m²/4 rooms/Furnished,140 m²,4 rooms,Furnished
Studio Bataviastraat,"3531 XG Utrecht (Laan van Nieuw-Guinea, Spinozaweg e.o.)",€825 per month,15 m²/1 room/Upholstered,15 m²,1 room,Upholstered
Apartment Rijnlaan,3522 BK Utrecht (Rivierenwijk),"€1,640 per month",80 m²/3 rooms/Upholstered,80 m²,3 rooms,Upholstered
Apartment Twellosebeeklaan,3521 DR Utrecht (Dichterswijk),"€1,225 per month",46 m²/2 rooms/2022,46 m²,2 rooms,2022
Apartment Looplantsoen,3523 GZ Utrecht (Tolsteeg en Rotsoord),"€1,645 per month",95 m²/3 rooms/Furnished,95 m²,3 rooms,Furnished
Apartment Tafelbergdreef 16,3564 AA Utrecht (Zambesidreef en omgeving),"€1,300 per month",85 m²/4 rooms/Upholstered,85 m²,4 rooms,Upholstered
Apartment Hartingstraat,3511 HT Utrecht (Hooch Boulandt),"€2,595 per month",122 m²/3 rooms/Furnished,122 m²,3 rooms,Furnished
House Adenauerlaan,3527 RC Utrecht (Kanaleneiland-Noord),"€1,795 per month",130 m²/4 rooms/Furnished,130 m²,4 rooms,Furnished
Apartment Van Vollenhovenlaan,3527 JR Utrecht (Transwijk-Noord),"€1,195 per month",55 m²/2 rooms/Upholstered,55 m²,2 rooms,Upholstered
Apartment Joseph Haydnlaan,3533 AK Utrecht (Halve Maan-Zuid),"€1,350 per month",70 m²/2 rooms/Upholstered,70 m²,2 rooms,Upholstered
Apartment Koningsweg,3582 GL Utrecht (L. Napoleonplantsoen en omgeving),"€1,750 per month",82 m²/3 rooms/1961,82 m²,3 rooms,1961
Apartment Azaleastraat 15 BIS,3551 AW Utrecht (2e Daalsebuurt en omgeving),"€1,150 per month",45 m²/2 rooms/Shell,45 m²,2 rooms,Shell
Apartment F. Koolhovenstraat 54 A,3555 VK Utrecht (Prins Bernhardplein en omgeving),€795 per month,30 m²/1 room/Shell,30 m²,1 room,Shell
Apartment Waterstraat 5,3511 BW Utrecht (Wijk C),"€1,050 per month",28 m²/1 room/Upholstered or furnished,28 m²,1 room,Upholstered or furnished
Apartment Detmoldstraat 76,3523 GG Utrecht (Nieuw Hoograven-Noord),"€1,550 per month",77 m²/3 rooms/Upholstered,77 m²,3 rooms,Upholstered
Apartment Baron van Heemstrastraat,3525 VT Utrecht (Oud Hoograven-Zuid),€810 per month,27 m²/1 room/Upholstered,27 m²,1 room,Upholstered
Apartment Bemuurde Weerd O.Z.,3514 AR Utrecht (Lauwerecht),"€1,900 per month",74 m²/3 rooms/1 m²,74 m²,3 rooms,1 m²
Apartment Bemuurde Weerd O.Z.,3514 AR Utrecht (Lauwerecht),"€1,650 per month",63 m²/2 rooms/1 m²,63 m²,2 rooms,1 m²
Apartment Bemuurde Weerd O.Z.,3514 AR Utrecht (Lauwerecht),"€1,850 per month",72 m²/3 rooms/216 m²,72 m²,3 rooms,216 m²
Apartment Europaplein 916,3526 WT Utrecht (Transwijk-Zuid),"€1,195 per month",49 m²/2 rooms/Shell,49 m²,2 rooms,Shell
Apartment Johan Wagenaarkade,3533 TC Utrecht (Halve Maan-Zuid),"€1,450 per month",76 m²/3 rooms/Upholstered,76 m²,3 rooms,Upholstered
House Gansstraat,3582 ED Utrecht (Watervogelbuurt),"€2,095 per month",75 m²/4 rooms/Furnished,75 m²,4 rooms,Furnished
House Tijmstraat,"3551 GL Utrecht (Egelantierstraat, Mariëndaalstraat e.o.)","€2,275 per month",100 m²/5 rooms/1906,100 m²,5 rooms,1906
Apartment Vleutenseweg,"3532 HK Utrecht (Nieuw Engeland, Th. a. Kempisplantsoen en omgeving)","€1,550 per month",70 m²/3 rooms/Furnished,70 m²,3 rooms,Furnished
Apartment Plantage,3551 DH Utrecht (2e Daalsebuurt en omgeving),"€1,795 per month",85 m²/3 rooms/Furnished,85 m²,3 rooms,Furnished
House J.M. Kemperstraat,3581 KH Utrecht (Oudwijk),"€2,350 per month",150 m²/4 rooms/Upholstered,150 m²,4 rooms,Upholstered
Apartment Pieter Nieuwlandstraat 27 bis,3514 HB Utrecht (Tuinwijk-Oost),"€2,400 per month",100 m²/5 rooms/1928,100 m²,5 rooms,1928
Apartment Gruttersdijk,3514 BH Utrecht (Vogelenbuurt),"€1,550 per month",51 m²/2 rooms/2010,51 m²,2 rooms,2010
Apartment Catharijnesingel,3511 GP Utrecht (Hooch Boulandt),"€1,337 per month",40 m²/2 rooms/Upholstered,40 m²,2 rooms,Upholstered
Apartment Jutfaseweg 96,3522 HH Utrecht (Rivierenwijk),"€1,350 per month",85 m²/2 rooms/Shell,85 m²,2 rooms,Shell
House Struyckenlaan,3527 KL Utrecht (Transwijk-Noord),"€1,650 per month",90 m²/3 rooms/Upholstered,90 m²,3 rooms,Upholstered
House W.A. Vultostraat 33,3523 TS Utrecht (Oud Hoograven-Noord),"€1,895 per month",85 m²/4 rooms/Upholstered,85 m²,4 rooms,Upholstered
House Mr. Tripkade 10,3571 SX Utrecht (Tuindorp en Van Lieflandlaan-West),"€2,050 per month",120 m²/5 rooms/Furnished,120 m²,5 rooms,Furnished
House Kamerlingh Onnesstraat,3514 HP Utrecht (Tuinwijk-Oost),"€2,100 per month",104 m²/4 rooms/Furnished,104 m²,4 rooms,Furnished
Apartment Aartsbisschop Romerostraat,3573 AJ Utrecht (Voordorp en Voorveldsepolder),"€1,665 per month",67 m²/3 rooms/Upholstered,67 m²,3 rooms,Upholstered
Apartment Weerdsingel W.Z.,3513 BA Utrecht (Pijlsweerd-Zuid),€900 per month,35 m²/2 rooms/Upholstered,35 m²,2 rooms,Upholstered
Apartment Van Bijnkershoeklaan,3527 XE Utrecht (Transwijk-Noord),"€1,450 per month",78 m²/3 rooms/Upholstered,78 m²,3 rooms,Upholstered
Apartment Van Koetsveldstraat,"3532 ET Utrecht (Nieuw Engeland, Th. a. Kempisplantsoen en omgeving)","€1,795 per month",79 m²/3 rooms/Furnished,79 m²,3 rooms,Furnished
Apartment Ambachtstraat,3512 ER Utrecht (Nobelstraat en omgeving),"€1,600 per month",80 m²/3 rooms/Upholstered,80 m²,3 rooms,Upholstered
Apartment Abstederdijk,"3582 BH Utrecht (Abstede, Tolsteegsingel e.o.)","€1,495 per month",85 m²/3 rooms/Furnished,85 m²,3 rooms,Furnished
Apartment Winklerlaan,3571 KE Utrecht (Tuindorp-Oost),"€1,375 per month",85 m²/3 rooms/Shell,85 m²,3 rooms,Shell
Apartment Havikstraat,3514 TN Utrecht (Vogelenbuurt),"€2,995 per month",126 m²/7 rooms/Upholstered,126 m²,7 rooms,Upholstered
House Royaards van den Hamkade,3552 CL Utrecht (Ondiep),"€1,550 per month",70 m²/5 rooms/Upholstered,70 m²,5 rooms,Upholstered
Apartment M.A. de Ruyterstraat,"3572 XM Utrecht (Zeeheldenbuurt, Hengeveldstraat en omgeving)","€1,595 per month",70 m²/2 rooms/Upholstered,70 m²,2 rooms,Upholstered
Apartment Werner Helmichstraat,3553 JV Utrecht (Julianapark en omgeving),"€1,250 per month",40 m²/2 rooms/Upholstered,40 m²,2 rooms,Upholstered
Apartment Ahornstraat,3552 CG Utrecht (Ondiep),"€1,400 per month",80 m²/3 rooms/1955,80 m²,3 rooms,1955
Apartment Hengeveldstraat 90,"3572 KJ Utrecht (Zeeheldenbuurt, Hengeveldstraat en omgeving)","€1,975 per month",110 m²/3 rooms/Upholstered or furnished,110 m²,3 rooms,Upholstered or furnished
House André Voltenlaan,3541 AG Utrecht (Grauwaart),"€2,395 per month",143 m²/5 rooms/Furnished,143 m²,5 rooms,Furnished
Apartment Briljantlaan 82,3523 CH Utrecht (Tolsteeg en Rotsoord),"€1,500 per month",62 m²/4 rooms/Upholstered,62 m²,4 rooms,Upholstered
Apartment Kruisweg,3513 CS Utrecht (Pijlsweerd-Zuid),"€1,595 per month",68 m²/3 rooms/Upholstered,68 m²,3 rooms,Upholstered
Apartment Jacob van der Borchstraat,3515 XE Utrecht (Tuinwijk-West),"€2,400 per month",106 m²/4 rooms/Furnished,106 m²,4 rooms,Furnished
Apartment Zakkendragerssteeg 48,"3511 AA Utrecht (Lange Elisabethstraat, Mariaplaats en omgeving)","€1,450 per month",48 m²/2 rooms/1900,48 m²,2 rooms,1900
Apartment Westerdijk 4 0305,3513 EW Utrecht (Pijlsweerd-Zuid),"€1,235 per month",42 m²/2 rooms/Upholstered,42 m²,2 rooms,Upholstered
House Tulpstraat,3581 RN Utrecht (Buiten Wittevrouwen),"€2,000 per month",82 m²/3 rooms/Furnished,82 m²,3 rooms,Furnished
House Magelhaenlaan,3526 CM Utrecht (Kanaleneiland-Zuid),"€1,595 per month",65 m²/2 rooms/Furnished,65 m²,2 rooms,Furnished
House Thinsstraat,3581 EP Utrecht (Buiten Wittevrouwen),"€1,825 per month",80 m²/3 rooms/Upholstered,80 m²,3 rooms,Upholstered
Apartment Maliesingel 34 A,3581 BJ Utrecht (Buiten Wittevrouwen),"€2,500 per month",73 m²/3 rooms/1900,73 m²,3 rooms,1900
Apartment Catharijnesingel,3511 GN Utrecht (Hooch Boulandt),"€2,250 per month",80 m²/3 rooms/Upholstered,80 m²,3 rooms,Upholstered
Apartment Abstederdijk,"3582 BC Utrecht (Abstede, Tolsteegsingel e.o.)","€1,575 per month",70 m²/3 rooms/Upholstered,70 m²,3 rooms,Upholstered
House Pijlstaartvlinder,3544 DJ Utrecht (Parkwijk-Noord),"€2,100 per month",134 m²/5 rooms/Furnished,134 m²,5 rooms,Furnished
Apartment Oudegracht,3511 AV Utrecht (Breedstraat en Plompetorengracht en omgeving),"€1,895 per month",65 m²/1 room/Upholstered or furnished,65 m²,1 room,Upholstered or furnished
Apartment Stadhouderslaan,3583 JG Utrecht (Wilhelminapark en omgeving),"€1,695 per month",77 m²/2 rooms/Upholstered,77 m²,2 rooms,Upholstered
Apartment Burgemeester Reigerstraat,3581 KL Utrecht (Oudwijk),"€1,495 per month",65 m²/1 room/Furnished,65 m²,1 room,Furnished
Apartment Oeral,3524 DZ Utrecht (Lunetten-Zuid),"€1,520 per month",100 m²/4 rooms/Upholstered,100 m²,4 rooms,Upholstered
House Goethelaan 19,3533 VP Utrecht (Oog in Al),"€2,200 per month",110 m²/4 rooms/Furnished,110 m²,4 rooms,Furnished
Apartment Poortstraat 106 *,3572 HP Utrecht (Wittevrouwen),"€1,400 per month",34 m²/1 room/1895,34 m²,1 room,1895
Apartment Goedestraat,3572 RX Utrecht (Wittevrouwen),"€1,495 per month",51 m²/2 rooms/Upholstered,51 m²,2 rooms,Upholstered
Apartment Johannes Gerobulusstraat,3553 KA Utrecht (Julianapark en omgeving),"€1,350 per month",40 m²/1 room/Upholstered,40 m²,1 room,Upholstered
House Bollenhofsestraat,3572 VH Utrecht (Wittevrouwen),"€2,250 per month",124 m²/4 rooms/Upholstered,124 m²,4 rooms,Upholstered
House Sterrenhof,3511 EV Utrecht (Hooch Boulandt),"€2,450 per month",97 m²/5 rooms/Upholstered,97 m²,5 rooms,Upholstered
Apartment Constant Erzeijstraat,3523 VS Utrecht (Oud Hoograven-Noord),"€1,750 per month",75 m²/4 rooms/Furnished,75 m²,4 rooms,Furnished
House Oudwijkerlaan,3581 TD Utrecht (Oudwijk),"€1,695 per month",85 m²/3 rooms/Furnished,85 m²,3 rooms,Furnished
Apartment Miles Davisstraat,3543 GT Utrecht (Terwijde-Oost),"€1,850 per month",88 m²/4 rooms/Furnished,88 m²,4 rooms,Furnished
Apartment Obbinklaan,3571 NG Utrecht (Tuindorp-Oost),"€1,295 per month",53 m²/2 rooms/Upholstered,53 m²,2 rooms,Upholstered
Apartment Bataviastraat,"3531 XE Utrecht (Laan van Nieuw-Guinea, Spinozaweg e.o.)","€1,395 per month",64 m²/2 rooms/Upholstered,64 m²,2 rooms,Upholstered
Apartment Mgr. van de Weteringstraat,3581 EN Utrecht (Buiten Wittevrouwen),"€1,985 per month",85 m²/3 rooms/Upholstered,85 m²,3 rooms,Upholstered
Apartment Amsterdamsestraatweg,3553 EE Utrecht (Julianapark en omgeving),"€1,100 per month",60 m²/2 rooms/Shell,60 m²,2 rooms,Shell
Apartment Hekelsteeg 8,"3511 AK Utrecht (Lange Elisabethstraat, Mariaplaats en omgeving)","€2,320 per month",126 m²/3 rooms/1913,126 m²,3 rooms,1913
House Jara Beneshof,3543 JR Utrecht (Terwijde-West),"€2,250 per month",100 m²/4 rooms/Furnished,100 m²,4 rooms,Furnished
House Weerdsingel W.Z.,3513 BG Utrecht (Pijlsweerd-Zuid),"€1,575 per month",75 m²/3 rooms/Upholstered,75 m²,3 rooms,Upholstered
Apartment Croeselaan 187,3521 BM Utrecht (Dichterswijk),"€2,000 per month",76 m²/2 rooms/Furnished,76 m²,2 rooms,Furnished
House Zwanenvechtlaan 31,3554 GK Utrecht (Schaakbuurt en omgeving),"€2,000 per month",166 m²/10 rooms/Furnished,166 m²,10 rooms,Furnished
Room Cornelis Mertenssstraat,3553 JN Utrecht (Julianapark en omgeving),€595 per month,17 m²/1 room/Upholstered,17 m²,1 room,Upholstered
House Steve Bikostraat,3573 BB Utrecht (Voordorp en Voorveldsepolder),"€1,650 per month",110 m²/4 rooms/Upholstered,110 m²,4 rooms,Upholstered
House Amerikalaan,3526 VX Utrecht (Kanaleneiland-Zuid),"€1,895 per month",104 m²/4 rooms/Upholstered,104 m²,4 rooms,Upholstered
House Bollenhofsestraat,3572 VM Utrecht (Wittevrouwen),"€1,750 per month",67 m²/3 rooms/Upholstered,67 m²,3 rooms,Upholstered
House Frederik Hendrikstraat,3583 VP Utrecht (Wilhelminapark en omgeving),"€3,990 per month",209 m²/9 rooms/Upholstered,209 m²,9 rooms,Upholstered
Apartment 2e Buurkerksteeg 3,"3511 KA Utrecht (Lange Elisabethstraat, Mariaplaats en omgeving)","€1,595 per month",80 m²/4 rooms/1930,80 m²,4 rooms,1930
Studio Potterstraat,"3512 TB Utrecht (Domplein, Neude, Janskerkhof)","€1,245 per month",24 m²/1 room/Furnished,24 m²,1 room,Furnished
Apartment Anton Geesinkstraat,"3552 BA Utrecht (Nijenoord, Hoogstraat en omgeving)","€1,950 per month",91 m²/3 rooms/Furnished,91 m²,3 rooms,Furnished
Apartment Oudegracht,"3511 AH Utrecht (Lange Elisabethstraat, Mariaplaats en omgeving)","€1,950 per month",100 m²/3 rooms/Upholstered,100 m²,3 rooms,Upholstered
Apartment Goedestraat 114 b,3572 RX Utrecht (Wittevrouwen),"€1,675 per month",58 m²/2 rooms/Upholstered,58 m²,2 rooms,Upholstered
Apartment Leidseweg,3531 BE Utrecht (Leidseweg en omgeving),"€2,350 per month",107 m²/4 rooms/Furnished,107 m²,4 rooms,Furnished
House Cartesiusweg 117,"3534 BC Utrecht (Schepenbuurt, Cartesiusweg e.o.)","€2,200 per month",115 m²/5 rooms/Upholstered,115 m²,5 rooms,Upholstered
